app_id,name,genre,price_usd,release_year,is_free
1172470,Apex Legends™,Action,0.0,2020,1
1938090,Call of Duty®,Action,0.0,2022,1
1203220,NARAKA: BLADEPOINT,MMO,0.0,2021,1
1086940,Baldur's Gate 3,Adventure,47.99,2023,0
553850,HELLDIVERS™ 2,Action,39.99,2024,0
2252570,Football Manager 2024,Sports,59.99,2023,0
2669320,EA SPORTS FC™ 25,Sports,69.99,2024,0
1245620,ELDEN RING,Action,59.99,2022,0
2878980,NBA 2K25,Sports,39.99,2024,0
1222670,The Sims™ 4,Adventure,0.0,2020,1
1091500,Cyberpunk 2077,RPG,29.99,2020,0
1599340,Lost Ark,MMO,0.0,2022,1
2379780,Balatro,Casual,14.99,2024,0
1142710,Total War: WARHAMMER III,Action,59.99,2022,0
427520,Factorio,Casual,35.0,2020,0
2358720,Black Myth: Wukong,Action,59.99,2024,0
1364780,Street Fighter™ 6,Action,59.99,2023,0
261550,Mount & Blade II: Bannerlord,Action,49.99,2022,0
1158310,Crusader Kings III,RPG,14.99,2020,0
526870,Satisfactory,Adventure,39.99,2024,0
1604030,V Rising,MMO,34.99,2024,0
1551360,Forza Horizon 5,Racing,59.99,2021,0
2221490,Tom Clancy’s The Division® 2,Action,9.99,2023,0
1237950,STAR WARS™ Battlefront™ II,Action,9.99,2020,0
2344520,Diablo® IV,Action,49.99,2023,0
1151340,Fallout 76,RPG,39.99,2020,0
1466060,Tainted Grail: The Fall of Avalon,Action,29.99,2023,0
632360,Risk of Rain 2,Action,24.99,2020,0
1284190,The Planet Crafter,Adventure,23.99,2024,0
1361210,"Warhammer 40,000: Darktide",Action,39.99,2022,0
1286830,STAR WARS™: The Old Republic™,MMO,0.0,2020,1
1238810,Battlefield™ V,Action,49.99,2020,0
1238840,Battlefield™ 1,MMO,5.99,2020,0
899770,Last Epoch,Action,34.99,2024,0
990080,Hogwarts Legacy,Action,59.99,2023,0
1063730,New World: Aeternum,MMO,59.99,2021,0
1248130,Farming Simulator 22,Simulation,29.99,2021,0
