app_id,ccu,owners,avg_playtime_min,ccu_at_1yr,ccu_peak
1172470,124262,"100,000,000 .. 200,000,000",10086,269941.0,624473.0
1938090,67419,"50,000,000 .. 100,000,000",5291,179545.0,488897.0
1203220,66954,"10,000,000 .. 20,000,000",9926,140522.0,385770.0
1086940,54771,"20,000,000 .. 50,000,000",7523,123814.0,875343.0
553850,53399,"20,000,000 .. 50,000,000",5491,88277.0,458208.0
2252570,47931,"1,000,000 .. 2,000,000",35487,69348.0,88894.0
2669320,42032,"5,000,000 .. 10,000,000",8933,37507.0,108534.0
1245620,29529,"20,000,000 .. 50,000,000",8089,71938.0,952523.0
2878980,27486,"1,000,000 .. 2,000,000",8065,15265.0,56395.0
1222670,25276,"10,000,000 .. 20,000,000",1670,19884.0,96185.0
1091500,22265,"20,000,000 .. 50,000,000",4976,28864.0,830387.0
1599340,17355,"50,000,000 .. 100,000,000",4773,258184.0,1324761.0
2379780,17123,"2,000,000 .. 5,000,000",2736,28534.0,43825.0
1142710,16842,"2,000,000 .. 5,000,000",10413,52119.0,166519.0
427520,16426,"5,000,000 .. 10,000,000",9869,18174.0,118166.0
2358720,15004,"50,000,000 .. 100,000,000",3286,38311.0,2406967.0
1364780,14920,"2,000,000 .. 5,000,000",6251,52012.0,70540.0
261550,14477,"10,000,000 .. 20,000,000",8815,29981.0,248034.0
1158310,14302,"2,000,000 .. 5,000,000",8313,16877.0,98474.0
526870,12596,"10,000,000 .. 20,000,000",6219,33403.0,185957.0
1604030,10961,"5,000,000 .. 10,000,000",3484,51382.0,150645.0
1551360,10009,"5,000,000 .. 10,000,000",3786,16180.0,80745.0
2221490,9481,"1,000,000 .. 2,000,000",2712,5841.0,27482.0
1237950,9213,"2,000,000 .. 5,000,000",1165,2383.0,35321.0
2344520,8835,"1,000,000 .. 2,000,000",6517,39008.0,55561.0
1151340,8796,"2,000,000 .. 5,000,000",4683,7842.0,72930.0
1466060,8175,"200,000 .. 500,000",1491,175.0,25568.0
632360,7902,"5,000,000 .. 10,000,000",3574,9328.0,74945.0
1284190,7330,"1,000,000 .. 2,000,000",2528,10171.0,28380.0
1361210,7267,"2,000,000 .. 5,000,000",4715,18836.0,107450.0
1286830,6625,"5,000,000 .. 10,000,000",3479,11300.0,27416.0
