app_id,metascore,user_score
1172470,89.0,66
1938090,91.0,82
1203220,71.0,59
1086940,96.0,92
553850,82.0,75
2252570,84.0,73
2669320,76.0,28
1245620,96.0,84
2878980,79.0,48
1222670,70.0,44
1091500,86.0,73
1599340,81.0,48
2379780,90.0,84
1142710,86.0,58
427520,90.0,89
2358720,81.0,82
1364780,92.0,75
261550,77.0,79
1158310,91.0,83
526870,91.0,88
1604030,83.0,69
1551360,92.0,82
2221490,82.0,63
1237950,68.0,20
2344520,86.0,26
1151340,52.0,28
1466060,80.0,77
632360,85.0,83
1284190,81.0,55
1361210,74.0,55
1286830,85.0,61
1238810,81.0,36
1238840,88.0,75
899770,80.0,61
990080,84.0,81
1063730,75.0,70
1248130,75.0,68
949230,74.0,43
548430,85.0,84
2707930,77.0,65
2195250,75.0,27
1426210,88.0,89
1687950,95.0,87
239140,74.0,80
1293830,92.0,83
529340,81.0,62
1326470,86.0,73
1778820,90.0,75
1144200,80.0,64
1904540,80.0,70
1888930,89.0,80
1407200,80.0,34
2050650,93.0,89
1304930,75.0,77
1716740,83.0,68
1621690,85.0,75
1446780,88.0,84
1401590,70.0,61
2186680,78.0,78
686810,79.0,64
1868140,90.0,82
1284210,90.0,80
397540,81.0,56
1465360,81.0,71
1260320,76.0,77
933110,75.0,67
1794680,86.0,81
1517290,68.0,24
2071280,84.0,69
1290000,75.0,72
1190970,79.0,72
1384160,87.0,79
1328670,87.0,77
962130,83.0,78
1774580,85.0,71
1222140,78.0,87
1240440,87.0,79
782330,88.0,85
1145360,93.0,86
1677280,81.0,59
304390,78.0,61
2488620,72.0,49
2215430,87.0,84
1167630,80.0,81
1145350,95.0,86
872410,58.0,68
2679460,94.0,85
1569040,85.0,74
2113850,80.0,69
2157560,81.0,72
1669000,83.0,75
2161700,87.0,87
1876890,80.0,74
699130,67.0,63
1527950,79.0,76
1850570,85.0,81
1259420,71.0,85
1282100,80.0,71
1824220,82.0,57
1934680,83.0,79
1029690,77.0,65
1313140,82.0,79
1084600,80.0,77
1149460,67.0,55
427410,88.0,83
1325200,86.0,76
2231380,56.0,35
1244460,78.0,73
1449560,82.0,74
1222680,72.0,63
1593500,94.0,90
2208920,80.0,61
1129580,73.0,66
1627720,80.0,83
1158160,82.0,67
1506830,78.0,39
1092790,85.0,85
2321470,86.0,71
924970,77.0,53
1196590,84.0,84
2591280,81.0,73
2688950,76.0,58
1147560,80.0,69
1817070,87.0,84
2666510,81.0,77
1237970,89.0,85
1238860,81.0,64
1971870,83.0,65
1263850,85.0,65
1940340,81.0,61
934700,73.0,72
1888160,86.0,81
2420110,89.0,74
881020,80.0,83
1044720,84.0,75
1113000,93.0,91
1336490,91.0,80
1790600,81.0,83
1210320,74.0,72
753640,85.0,89
975370,93.0,85
362890,84.0,87
1286680,78.0,57
2000950,80.0,38
1501750,75.0,67
1845910,82.0,40
2835570,85.0,77
2054970,86.0,65
885970,75.0,59
1462040,89.0,84
1718570,79.0,72
2515020,87.0,84
920210,82.0,77
1151640,84.0,71
848450,82.0,71
1057090,90.0,89
1030840,78.0,76
1097150,81.0,68
2072450,89.0,85
870780,85.0,78
1272080,66.0,33
1985810,76.0,58
784080,73.0,55
2369390,73.0,54
1809540,84.0,84
1846380,77.0,59
1651560,77.0,69
1102190,86.0,79
1054490,78.0,84
1213210,82.0,87
1072040,86.0,60
1575940,76.0,83
1030830,72.0,67
1324130,81.0,75
1601580,85.0,75
1562430,80.0,79
2108330,82.0,62
2124490,86.0,91
1244090,87.0,80
2440510,84.0,68
1451190,70.0,49
1332010,83.0,83
850190,68.0,77
597180,80.0,73
1235140,84.0,82
1659420,87.0,84
668580,70.0,68
1272320,80.0,78
1222690,85.0,62
1267540,81.0,62
368260,83.0,72
694280,72.0,63
1588010,76.0,49
780290,82.0,66
756800,77.0,77
1265820,78.0,71
1105670,82.0,81
1629520,75.0,70
1124300,77.0,67
1875830,87.0,81
1488200,81.0,74
1458140,79.0,63
1637320,76.0,76
1971650,85.0,83
1096530,77.0,70
2138710,81.0,79
1295500,72.0,78
1817190,85.0,76
1676840,76.0,77
1611910,81.0,70
2933130,59.0,69
2291060,73.0,57
2231450,89.0,88
1455840,84.0,74
1084160,81.0,80
760160,77.0,55
952060,79.0,67
2218750,88.0,77
1372110,73.0,74
2064650,65.0,48
1282730,82.0,76
1433140,72.0,63
1245560,82.0,77
1128920,81.0,75
1357210,69.0,46
1180660,78.0,58
1127500,87.0,75
418530,87.0,79
1693980,89.0,85
493520,78.0,74
1785650,76.0,50
1071870,70.0,73
1583230,67.0,77
2315690,81.0,67
2198150,74.0,73
986130,69.0,71
1268750,61.0,54
898750,79.0,69
2005010,75.0,75
1549970,69.0,56
1150440,75.0,76
1545560,85.0,65
2840770,72.0,71
763890,86.0,76
1161580,83.0,74
2395210,89.0,85
2561580,85.0,71
851850,73.0,80
1222700,78.0,79
861650,67.0,61
1782120,81.0,68
1135690,83.0,75
1672970,70.0,67
1207650,81.0,81
1577120,79.0,65
633230,61.0,58
2478970,75.0,76
1218210,73.0,75
2187220,85.0,79
2853730,59.0,33
1681430,72.0,77
2140020,80.0,81
1692250,79.0,42
2058190,82.0,85
780310,83.0,81
1157390,77.0,75
860510,82.0,83
1644320,75.0,73
2698940,76.0,72
1337520,84.0,80
1088850,80.0,84
719040,85.0,77
1338770,73.0,71
1641960,66.0,73
979690,74.0,75
960990,70.0,80
1735700,81.0,81
1259980,74.0,58
1113560,83.0,83
1937500,73.0,73
1262580,61.0,39
1496790,67.0,53
2455640,79.0,82
1605220,73.0,63
1321440,83.0,84
2114740,84.0,83
546560,93.0,91
2058180,80.0,85
745920,73.0,61
1382330,83.0,78
